"WBS","任务/工作包","预计工时/h","先前完成工时/h","本次工时/h","总工时/h","百分比","状态"
"1.1","项目协调与进度跟踪","12","5","0","5","42%","进行中"
"1.2","风险与阻塞处理","8","3","0","3","38%","风险跟踪中"
"1.3","工时统计、评审反馈跟踪与计划修正","8","2","0","2","25%","进行中"
"2.1","RBS / WBS / schedule 更新","8","4","0","4","50%","部分完成"
"2.2","系统架构与模块边界确认","10","5","0","5","50%","部分完成"
"2.3","数据模型、API 与前端交互设计","8","4","0","4","50%","部分完成"
"2.4","课程 Agent 使用场景定义","8","3","0","3","38%","进行中"
"2.5","课程知识库隔离设计","8","2","0","2","25%","进行中"
"3.1","启动 postgres、redis 和 minio","8","8","0","8","100%","已完成"
"3.2","数据库迁移与环境检查","6","5","0","5","83%","基本完成"
"3.3","Celery worker 与任务队列验证","8","5","0","5","63%","基本完成"
"3.4","启动脚本与部署准备","6","2","0","2","33%","进行中"
"4.1","JWT 认证与用户角色","8","8","0","8","100%","已完成"
"4.2","Courses / Resources API","12","6","0","6","50%","部分完成"
"4.3","AgentBase / LLM Provider","14","14","0","14","100%","基本完成"
"4.4","资料解析 / chunk / embedding","14","9","0","9","64%","部分完成"
"4.5","RAG 检索与 QAAgent","14","8","4","12","86%","基本完成"
"4.6","Chat session 持久化","8","5","2","7","88%","基本完成"
"4.7","作业提交与异步批改","14","19","0","19","136%","基本完成"
"4.8","学情分析与预警","10","4.5","0","4.5","45%","已经接入主链路"
"4.9","练习生成与作答反馈","10","2.5","6","8.5","85%","基本完成"
"4.10","资源删除 / 重试 / 下载","8","0","0","0","0%","未开始"
"4.11","课程级知识隔离验证","6","1","4","5","83%","基本完成"
"4.12","后端异常处理","4","3","4","7","175%","已完成"
"5.1","登录与布局","10","10","0","10","100%","已完成"
"5.2","课程管理与资料上传","16","12","0","12","75%","基本完成"
"5.3","聊天问答与历史记录","14","10","8","18","129%","已完成"
"5.4","学生课程资料下载","8","1","1","2","25%","待加强"
"5.5","作业 / 学情 / 练习页面接入","32","8","2","10","31%","进行中"
"5.6","前端错误提示与异常交互优化","14","5","5.5","10.5","75%","部分完成"
"6.1","Widget 嵌入","6","0","3.75","3.75","63%","部分完成"
"6.2","超星 / 钉钉适配说明","4","0","8","8","200%","已完成"
"6.3","Agent 构建器","4","2","11.25","13.25","331%","已完成"
"7.1","后端 API 测试","10","6.5","8","14.5","145%","已完成"
"7.2","问答准确率与批量题集评测","10","10","0","10","100%","持续补充"
"7.3","端到端场景测试","10","2","6.5","8.5","85%","基本完成"
"7.4","异常场景测试","10","1","0.5","1.5","15%","待加强"
"7.5","性能与并发测试","12","0","0","0","0%","未开始"
"8.1","工作日志与周报","4","3.5","5","8.5","213%","已完成"
"8.2","PPT 与演示材料","6","10","0","10","167%","持续补充"
"8.3","文档和架构图 / 数据流图 / 活动图","6","0","0","0","0%","未开始"
"8.4","最终报告与交付包","4","0","0","0","0%","未开始"
